City_code,City,Province,Number
34,Almere,Flevoland,1.0
484,Alphen aan den Rijn,Zuid-Holland,1.0
1959,Altena,Noord-Brabant,4.0
362,Amstelveen,Noord-Holland,1.0
363,Amsterdam,Noord-Holland,3.0
202,Arnhem,Gelderland,1.0
1954,Beekdaelen,Limburg,2.0
1721,Bernheze,Noord-Brabant,1.0
753,Best,Noord-Brabant,1.0
209,Beuningen,Gelderland,1.0
375,Beverwijk,Noord-Holland,3.0
376,Blaricum,Noord-Holland,1.0
377,Bloemendaal,Noord-Holland,1.0
147,Borne,Overijssel,2.0
758,Breda,Noord-Brabant,2.0
1876,Bronckhorst,Gelderland,1.0
109,Coevorden,Drenthe,3.0
216,Culemborg,Gelderland,1.0
310,De Bilt,Utrecht,6.0
503,Delft,Zuid-Holland,1.0
384,Diemen,Noord-Holland,2.0
1774,Dinkelland,Overijssel,1.0
766,Dongen,Noord-Brabant,2.0
772,Eindhoven,Noord-Brabant,4.0
1652,Gemert-Bakel,Noord-Brabant,1.0
1942,Gooise Meren,Noord-Holland,2.0
392,Haarlem,Noord-Holland,1.0
523,Hardinxveld-Giessendam,Zuid-Holland,4.0
163,Hellendoorn,Overijssel,1.0
794,Helmond,Noord-Brabant,4.0
797,Heusden,Noord-Brabant,1.0
1963,Hoeksche Waard,Zuid-Holland,2.0
321,Houten,Utrecht,13.0
415,Landsmeer,Noord-Holland,1.0
1621,Lansingerland,Zuid-Holland,2.0
1916,Leidschendam-Voorburg,Zuid-Holland,1.0
1705,Lingewaard,Gelderland,2.0
809,Loon op Zand,Noord-Brabant,7.0
935,Maastricht,Limburg,3.0
1948,Meierijstad,Noord-Brabant,1.0
268,Nijmegen,Gelderland,2.0
579,Oegstgeest,Zuid-Holland,1.0
824,Oisterwijk,Noord-Brabant,3.0
828,Oss,Noord-Brabant,1.0
1926,Pijnacker-Nootdorp,Zuid-Holland,2.0
274,Renkum,Gelderland,1.0
597,Ridderkerk,Zuid-Holland,1.0
599,Rotterdam,Zuid-Holland,11.0
1676,Schouwen-Duiveland,Zeeland,1.0
518,'s-Gravenhage,Zuid-Holland,2.0
796,'s-Hertogenbosch,Noord-Brabant,2.0
965,Simpelveld,Limburg,2.0
845,Sint-Michielsgestel,Noord-Brabant,3.0
1883,Sittard-Geleen,Limburg,4.0
342,Soest,Utrecht,7.0
1904,Stichtse Vecht,Utrecht,4.0
855,Tilburg,Noord-Brabant,10.0
856,Uden,Noord-Brabant,6.0
344,Utrecht,Utrecht,11.0
1581,Utrechtse Heuvelrug,Utrecht,1.0
1961,Vijfheerenlanden,Utrecht,1.0
866,Waalre,Noord-Brabant,1.0
867,Waalwijk,Noord-Brabant,3.0
1960,West Betuwe,Gelderland,2.0
668,West Maas en Waal,Gelderland,1.0
614,Westvoorne,Zuid-Holland,1.0
352,Wijk bij Duurstede,Utrecht,1.0
632,Woerden,Utrecht,2.0
479,Zaanstad,Noord-Holland,2.0
297,Zaltbommel,Gelderland,1.0
50,Zeewolde,Flevoland,1.0
355,Zeist,Utrecht,1.0
,SUM,SUM,184.0
